Policy_id,Country_id,Policy_type,Policy_subtype,Policy_start_date,Air_ban,Air_ban_type,Air_ban_info,Land_ban,Land_ban_type,Land_ban_info,Sea_ban,Sea_ban_type,Sea_ban_info
11020,AFG,PARTIAL,BORDER_CLOSURE,2020-03-24,1,Specific,all commercial flights suspended except for some from Turkey and India,0,no policy,no policy,0,no policy,no policy
SN63,AGO,PARTIAL,BORDER_CLOSURE,2020-10-19,1,Specific,"Afghanistan, Aland Islands, Albania, Algeria, American Samoa, Andorra, Anguilla, Antarctica, Antigua and Barbuda, Argentina, Armenia, Aruba, Australia, Austria, Azerbaijan, Bahamas, Bahrain, Bangladesh, Barbados, Belarus, Belgium, Belize, Benin, Bermuda, Bhutan, Bolivia, Bonaire, Sint Eustatius and Saba, Bosnia and Herzegovina, Botswana, Bouvet Island, British Indian Ocean Territory, Brunei Darussalam, Bulgaria, Burkina Faso, Burundi, Cape Verde, Cambodia, Cameroon, Canada, Cayman Islands, Central African Republic, Chad, Chile, China, Christmas Island, Cocos (Keeling) Islands, Colombia, Comoros, Congo, Democratic Republic of the Congo, Cook Islands, Costa Rica, Côte d'Ivoire, Croatia, Cuba, Curaçao, Cyprus, Czech Republic, Denmark, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Estonia, Eswatini, Ethiopia, Falkland Islands (Malvinas), Faroe Islands, Fiji, Finland, French Guiana, French Polynesia, French Southern Territories, Gabon, Gambia, Georgia, Germany, Ghana, Gibraltar, Greece, Greenland, Grenada, Guadeloupe, Guam, Guatemala, Guernsey, Guinea, Guinea-Bissau, Guyana, Haiti, Heard Island and McDonald Islands, Holy See (Vatican City State), Honduras, Hong Kong, Hungary, Iceland, India, Indonesia, Iran, Iraq, Ireland, Isle of Man, Israel, Italy, Jamaica, Japan, Jersey, Jordan, Kazakhstan, Kenya, Kiribati, North Korea, South Korea, Kuwait, Kyrgyzstan, Kosovo, Lao People's Democratic Republic, Latvia, Lebanon, Lesotho, Liberia, Libya, Liechtenstein, Lithuania, Luxembourg, Macao, North Macedonia, Madagascar, Malawi, Malaysia, Maldives, Mali, Malta, Marshall Islands, Martinique, Mauritania, Mauritius, Mayotte, Mexico, Micronesia, Federated States of, Republic of Moldova, Monaco, Mongolia, Montenegro, Montserrat, Morocco, Mozambique, Myanmar, Namibia, Nauru, Nepal, Netherlands, New Caledonia, New Zealand, Nicaragua, Niger, Nigeria, Niue, Norfolk Island, Northern Mariana Islands, Norway, Oman, Pakistan, Palau, Palestine, State of, Panama, Papua New Guinea, Paraguay, Peru, Philippines, Pitcairn, Poland, Puerto Rico, Qatar, Réunion, Romania, Russian Federation, Rwanda, Saint Barthélemy, Saint Helena, Ascension and Tristan da Cunha, Saint Kitts and Nevis, Saint Lucia, Saint Martin (French part), Saint Pierre and Miquelon, Saint Vincent and the Grenadines, Samoa, San Marino, Sao Tome and Principe, Saudi Arabia, Senegal, Serbia, Seychelles, Sierra Leone, Singapore, Sint Maarten (Dutch part), Slovakia, Slovenia, Solomon Islands, Somalia, Somaliland, South Georgia and the South Sandwich Islands, South Sudan, Spain, Sri Lanka, Sudan, Suriname, Svalbard and Jan Mayen, Sweden, Switzerland, Syrian Arab Republic, Taiwan, Tajikistan, United Republic of Tanzania, Thailand, Timor-Leste (East Timor), Togo, Tokelau, Tonga, Trinidad and Tobago, Tunisia, Turkey, Turkmenistan, Turks and Caicos Islands, Tuvalu, Uganda, Ukraine, United Kingdom, United States Minor Outlying Islands, United States of America, Uruguay, Uzbekistan, Vanuatu, Venezuela, Vietnam, Virgin Islands, British, Virgin Islands, U.S., Wallis and Futuna, Western Sahara, Yemen, Zambia, Zimbabwe",1,All,no policy,1,All,no policy
1940,ALB,PARTIAL,BORDER_CLOSURE,2020-03-24,0,no policy,no policy,0,no policy,no policy,1,Specific,All ferries to/from Italy & other red areas are suspended
140705,ARG,PARTIAL,BORDER_CLOSURE,2020-11-01,1,Specific,Only citizens allowed to fly,0,no policy,no policy,0,no policy,no policy
2026,ARM,PARTIAL,BORDER_CLOSURE,2020-03-24,1,Specific,"Australia, Canada, China, EU member states, Georgia, Iran, Israel, Japan, Norway, Russia, South Korea, Switzerland, Turkey, the UK and the US",0,no policy,no policy,0,no policy,no policy
5305,AUT,PARTIAL,BORDER_CLOSURE,2020-03-19,0,no policy,no policy,1,Specific,"Hungary, Slovenia",0,no policy,no policy
17615,AZE,PARTIAL,BORDER_CLOSURE,2020-08-29,1,All,no policy,0,no policy,no policy,0,no policy,no policy
NT16,BDI,PARTIAL,BORDER_CLOSURE,2021-01-11,0,no policy,no policy,1,All,no policy,1,All,no policy
5601,BEL,PARTIAL,BORDER_CLOSURE,2020-04-15,1,Specific,"All countries except Austria, Belgium, Bulgaria, Croatia, Republic of Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Iceland, Liechtenstein, Norway, UK, Switzerland",0,no policy,no policy,0,no policy,no policy
5678,BEN,PARTIAL,BORDER_CLOSURE,2020-04-17,0,no policy,no policy,1,Specific,Togo,0,no policy,no policy
NT15,BFA,PARTIAL,BORDER_CLOSURE,2020-08-01,0,no policy,no policy,1,All,no policy,0,no policy,no policy
EB94,BGD,PARTIAL,BORDER_CLOSURE,2020-12-18,1,Specific,"all EXCEPT Bahrain, China, Kuwait, Malaysia, Maldives, Oman, Qatar, Saudi Arabia, Singapore, Sri Lanka, Turkey, United Arab Emirates, United Kingdom ",0,no policy,no policy,0,no policy,no policy
BW21,BLR,PARTIAL,BORDER_CLOSURE,2020-11-01,0,no policy,no policy,1,All,no policy,0,no policy,no policy
SN9,BLZ,PARTIAL,BORDER_CLOSURE,2020-10-01,0,no policy,no policy,1,All,no policy,1,All,no policy
117898,CAF,PARTIAL,BORDER_CLOSURE,2020-07-25,1,Specific,Commercial flights from Bangui Mpoko are allowed to operate again,0,no policy,no policy,0,no policy,no policy
13482,CHE,PARTIAL,BORDER_CLOSURE,2020-06-15,1,Specific,All non-Schengen,0,no policy,no policy,0,no policy,no policy
BW36,CHL,PARTIAL,BORDER_CLOSURE,2020-11-23,0,no policy,no policy,1,All,no policy,1,All,no policy
NT18,CIV,PARTIAL,BORDER_CLOSURE,2020-08-18,1,Specific,Mali,0,no policy,no policy,0,no policy,no policy
NL55,CMR,PARTIAL,BORDER_CLOSURE,2020-10-25,1,Specific,Citizens,1,All,no policy,1,All,no policy
8328,COD,PARTIAL,BORDER_CLOSURE,2020-04-03,1,All,no policy,0,no policy,no policy,0,no policy,no policy
SN66,CPV,PARTIAL,BORDER_CLOSURE,2020-10-12,0,no policy,no policy,1,All,no policy,0,no policy,no policy
17581,CUB,PARTIAL,BORDER_CLOSURE,2020-07-31,1,All,no policy,0,no policy,no policy,0,no policy,no policy
SM1,CXR,PARTIAL,BORDER_CLOSURE,2020-11-15,1,Specific,only visitors from “very low risk states” of Australia PERMITED,0,no policy,no policy,0,no policy,no policy
CK13,CYM,PARTIAL,BORDER_CLOSURE,2020-08-08,1,All,no policy,0,no policy,no policy,0,no policy,no policy
6041,DEU,PARTIAL,BORDER_CLOSURE,2020-04-15,1,Specific,"Austria, Switzerland, France, Luxembourg, Denmark, Italy, Spain",1,Specific,"Austria, Switzerland, France, Luxembourg, Denmark",1,Specific,Denmark
NT5,DJI,PARTIAL,BORDER_CLOSURE,2020-10-22,0,no policy,no policy,1,All,no policy,0,no policy,no policy
EB89,DOM,PARTIAL,BORDER_CLOSURE,2020-12-22,1,Specific,United Kingdom,0,no policy,no policy,0,no policy,no policy
NL1,DZA,PARTIAL,BORDER_CLOSURE,2020-03-19,1,Specific,"Albania, Andorra, Armenia, Austria, Belarus, Belguim, Bosnia, Bulgaria, Croatia, Cyprus, Czechia, Azerbaijan, Denmark, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, Iceland, Ireland, Italy, Kazakhstan, Kosovo, Latvia, Liechtenstein, Lituania, Luxembourg, Malta, Moldova, Monaco, Montenegro, Netherlands, North Macedonia, Norway, Poland, Portugal, Romania, Russia, San Marino, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey, Ukraine, United Kingdom,Morocco, China",0,no policy,no policy,0,no policy,no policy
12849,ECU,PARTIAL,BORDER_CLOSURE,2020-06-01,0,no policy,no policy,1,All,no policy,1,All,no policy
12431,EGY,PARTIAL,BORDER_CLOSURE,2020-04-27,1,All,no policy,0,no policy,no policy,0,no policy,no policy
6070,ETH,PARTIAL,BORDER_CLOSURE,2020-04-14,0,no policy,no policy,1,All,no policy,0,no policy,no policy
NT7,GAB,PARTIAL,BORDER_CLOSURE,2020-09-19,0,no policy,no policy,1,All,no policy,1,All,no policy
699,GHA,PARTIAL,BORDER_CLOSURE,2020-03-17,1,All,no policy,0,no policy,no policy,0,no policy,no policy
NT20,GIN,PARTIAL,BORDER_CLOSURE,2020-05-06,1,All,no policy,0,no policy,no policy,0,no policy,no policy
139252,GMB,PARTIAL,BORDER_CLOSURE,2020-09-17,1,Specific,"United Kingdom, Spain, France, Poland, Germany, Sweden, Denmark, Switzerland, Netherlands, Norway, Austria, Belgium, Portugal",0,no policy,no policy,0,no policy,no policy
3661,GNQ,PARTIAL,BORDER_CLOSURE,2020-04-15,1,All,no policy,0,no policy,no policy,0,no policy,no policy
EB86,GRD,PARTIAL,BORDER_CLOSURE,2020-12-20,1,Specific,United Kingdom,0,no policy,no policy,0,no policy,no policy
BW4,GUY,PARTIAL,BORDER_CLOSURE,2020-03-27,0,no policy,no policy,1,All,no policy,0,no policy,no policy
CJ17,HKG,PARTIAL,BORDER_CLOSURE,2020-04-06,1,All,no policy,0,no policy,no policy,0,no policy,no policy
MS13,HND,PARTIAL,BORDER_CLOSURE,2020-03-21,1,All,no policy,0,no policy,no policy,0,no policy,no policy
137672,HRV,PARTIAL,BORDER_CLOSURE,2020-09-15,0,no policy,no policy,1,All,no policy,0,no policy,no policy
1786,IND,PARTIAL,BORDER_CLOSURE,2020-03-22,1,All,no policy,0,no policy,no policy,0,no policy,no policy
CK8,IOT,PARTIAL,BORDER_CLOSURE,2020-04-24,0,no policy,no policy,0,no policy,no policy,1,All,no policy
547,IRN,PARTIAL,BORDER_CLOSURE,2020-03-16,1,Specific," Iran, China, Hong Kong, Macau, Taiwan",0,no policy,no policy,0,no policy,no policy
138287,IRQ,PARTIAL,BORDER_CLOSURE,2020-10-27,1,Specific,"Kuwait, Bahrain ",0,no policy,no policy,0,no policy,no policy
119157,ISR,PARTIAL,BORDER_CLOSURE,2020-09-25,1,All,no policy,0,no policy,no policy,0,no policy,no policy
EB88,JAM,PARTIAL,BORDER_CLOSURE,2020-12-21,1,Specific,United Kingdom,0,no policy,no policy,0,no policy,no policy
140481,JOR,PARTIAL,BORDER_CLOSURE,2020-08-11,0,no policy,no policy,1,Specific,"The border crossings of King Hussein Bridge, Sheikh Hussein Bridge, and Al-Mudawara will operate at limited capacity and will bar those who do not have Jordanian, Palestinian, or Saudi nationality",0,no policy,no policy
117830,KEN,PARTIAL,BORDER_CLOSURE,2020-08-01,0,no policy,no policy,1,All,no policy,1,All,no policy
118815,KHM,PARTIAL,BORDER_CLOSURE,2020-08-24,0,no policy,no policy,1,Specific,"Thailand, Laos",0,no policy,no policy
117986,KNA,PARTIAL,BORDER_CLOSURE,2020-08-29,1,Specific,"except with the prior written permission of the Air Ports Authorities, in consultation with the Chief Medical Officer;",1,All,no policy,1,Specific,"except with the prior written permission of the Ports Authorities, in consultation with the Chief Medical Officer;"
BW6,KOR,PARTIAL,BORDER_CLOSURE,2020-04-17,1,Specific,ONLY Incheon International Airport (ICN) open,0,no policy,no policy,0,no policy,no policy
142374,KWT,PARTIAL,BORDER_CLOSURE,2020-12-01,0,no policy,no policy,1,Specific,Iran,0,no policy,no policy
142607,LBN,PARTIAL,BORDER_CLOSURE,2020-11-14,0,no policy,no policy,1,All,no policy,1,All,no policy
8174,LBR,PARTIAL,BORDER_CLOSURE,2020-04-29,0,no policy,no policy,1,All,no policy,0,no policy,no policy
15927,LBY,PARTIAL,BORDER_CLOSURE,2020-07-19,1,Specific,"The Tripoli-based Government of National Accord (GNA) extended a ban on civil aviation for a further 15 days as of Sunday, July 19. **The ban excludes official visits, medevac and cargo flights, return flights for Libyans abroad, and departure flights for both Libyans and foreigners.",0,no policy,no policy,0,no policy,no policy
EB93,LKA,PARTIAL,BORDER_CLOSURE,2020-12-23,1,Specific,United Kingdom,0,no policy,no policy,0,no policy,no policy
138794,LUX,PARTIAL,BORDER_CLOSURE,2020-08-14,0,no policy,no policy,1,Specific,Morocco,0,no policy,no policy
SN52,LVA,PARTIAL,BORDER_CLOSURE,2020-12-04,1,Specific,"Afghanistan, Aland Islands, Albania, Algeria, American Samoa, Andorra, Angola, Anguilla, Antarctica, Antigua and Barbuda, Argentina, Armenia, Aruba, Azerbaijan, Bahamas, Bahrain, Bangladesh, Barbados, Belarus, Belize, Benin, Bermuda, Bhutan, Bolivia, Bonaire, Sint Eustatius and Saba, Bosnia and Herzegovina, Botswana, Bouvet Island, Brazil, British Indian Ocean Territory, Brunei Darussalam, Burkina Faso, Burundi, Cape Verde, Cambodia, Cameroon, Cayman Islands, Central African Republic, Chad, Chile, China, Christmas Island, Cocos (Keeling) Islands, Colombia, Comoros, Congo, Democratic Republic of the Congo, Cook Islands, Costa Rica, Côte d'Ivoire, Cuba, Curaçao, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Eswatini, Ethiopia, Falkland Islands (Malvinas), Faroe Islands, Fiji, French Guiana, French Polynesia, French Southern Territories, Gabon, Gambia, Georgia, Ghana, Gibraltar, Greenland, Grenada, Guadeloupe, Guam, Guatemala, Guernsey, Guinea, Guinea-Bissau, Guyana, Haiti, Heard Island and McDonald Islands, Honduras, Hong Kong, India, Indonesia, Iran, Iraq, Isle of Man, Israel, Jamaica, Jersey, Jordan, Kazakhstan, Kenya, Kiribati, North Korea, Kuwait, Kyrgyzstan, Kosovo, Lao People's Democratic Republic, Lebanon, Lesotho, Liberia, Libya, Macao, North Macedonia, Madagascar, Malawi, Malaysia, Maldives, Mali, Marshall Islands, Martinique, Mauritania, Mauritius, Mayotte, Mexico, Micronesia, Federated States of, Republic of Moldova, Mongolia, Montenegro, Montserrat, Morocco, Mozambique, Myanmar, Namibia, Nauru, Nepal, New Caledonia, Nicaragua, Niger, Nigeria, Niue, Norfolk Island, Northern Mariana Islands, Oman, Pakistan, Palau, Palestine, State of, Panama, Papua New Guinea, Paraguay, Peru, Philippines, Pitcairn, Puerto Rico, Qatar, Réunion, Russian Federation, Saint Barthélemy, Saint Helena, Ascension and Tristan da Cunha, Saint Kitts and Nevis, Saint Lucia, Saint Martin (French part), Saint Pierre and Miquelon, Saint Vincent and the Grenadines, Samoa, Sao Tome and Principe, Saudi Arabia, Senegal, Serbia, Seychelles, Sierra Leone, Singapore, Sint Maarten (Dutch part), Solomon Islands, Somalia, Somaliland, South Africa, South Georgia and the South Sandwich Islands, South Sudan, Sri Lanka, Sudan, Suriname, Svalbard and Jan Mayen, Syrian Arab Republic, Taiwan, Tajikistan, United Republic of Tanzania, Timor-Leste (East Timor), Togo, Tokelau, Tonga, Trinidad and Tobago, Turkey, Turkmenistan, Turks and Caicos Islands, Tuvalu, Uganda, Ukraine, United Arab Emirates, United States Minor Outlying Islands, United States of America, Uzbekistan, Vanuatu, Venezuela, Vietnam, Virgin Islands, British, Virgin Islands, U.S., Wallis and Futuna, Western Sahara, Yemen, Zambia, Zimbabwe, Luxembourg, Croatia, San Marino, Lithuania",0,no policy,no policy,0,no policy,no policy
15811,MDG,PARTIAL,BORDER_CLOSURE,2020-07-06,0,no policy,no policy,0,no policy,no policy,1,Specific,cruise ships
14148,MEX,PARTIAL,BORDER_CLOSURE,2020-03-21,0,no policy,no policy,1,Specific,United States of America,0,no policy,no policy
4294,MLI,PARTIAL,BORDER_CLOSURE,2020-03-25,0,no policy,no policy,1,Specific,All land borders are closed to passenger vehicle traffic while allowing cargo and freight.,0,no policy,no policy
18046,MMR,PARTIAL,BORDER_CLOSURE,2020-07-30,1,All,no policy,0,no policy,no policy,0,no policy,no policy
MS78,MNP,PARTIAL,BORDER_CLOSURE,2020-04-06,1,All,no policy,0,no policy,no policy,0,no policy,no policy
