Country,Country_id,Policy_type,Policy_subtype,Policy_start_date,Air_ban,Air_ban_info,Land_ban,Land_ban_info,Sea_ban,Sea_ban_info,Citizen_ban,Citizen_ban_info,Travel_history_ban,Travel_history_ban_info,Refugee_ban,Refugee_ban_info,Visa_ban,Visa_ban_info,Citizen_exceptions,Citizen_exceptions_info,Country_exceptions,Country_exceptions_info,Work_exceptions
Denmark,DNK,PARTIAL,CITIZENSHIP_BAN,2020-10-31,0,no policy,0,no policy,0,no policy,1,"Afghanistan Åland Islands Albania Algeria American Samoa Angola Anguilla Antarctica Antigua and Barbuda Argentina Armenia Aruba Azerbaijan Bahamas Bahrain Bangladesh Barbados Belarus Belize Benin Bermuda Bhutan Bolivia Bonaire, Sint Eustatius and Saba Bosnia and Herzegovina Botswana Bouvet Island Brazil British Indian Ocean Territory Brunei Burkina Faso Burundi Cabo Verde Cambodia Cameroon Cayman Islands Central African Republic Chad Chile China Christmas Island Cocos (Keeling) Islands Colombia Comoros Congo Democratic Republic of the Congo Cook Islands Costa Rica Côte d'Ivoire Cuba Curaçao Djibouti Dominica Dominican Republic Ecuador Egypt El Salvador Equatorial Guinea Eritrea Eswatini Ethiopia Falkland Islands (Malvinas) Faroe Islands Fiji French Guiana French Polynesia French Southern Territories Gabon Gambia Ghana Gibraltar Greece Greenland Grenada Guadeloupe Guam Guatemala Guernsey Guinea Guinea-Bissau Guyana Haiti Heard Island and McDonald Islands Honduras Hong Kong India Indonesia Iran Iraq Isle of Man Israel Jamaica Jersey Jordan Kazakhstan Kenya Kiribati North Korea Kuwait Kyrgyzstan Kosovo Laos Lebanon Lesotho Liberia Libya Macao North Macedonia Madagascar Malawi Malaysia Maldives Mali Marshall Islands Martinique Mauritania Mauritius Mayotte Mexico Micronesia Moldova Mongolia Montenegro Montserrat Morocco Mozambique Myanmar Namibia Nauru Nepal New Caledonia Nicaragua Niger Nigeria Niue Norfolk Island Northern Mariana Islands Oman Pakistan Palau Palestine, State of Panama Papua New Guinea Paraguay Peru Philippines Pitcairn Portugal Puerto Rico Qatar Réunion Russian Federation Rwanda Saint Barthélemy Saint Helena, Ascension and Tristan da Cunha Saint Kitts and Nevis Saint Lucia Saint Martin (French part) Saint Pierre and Miquelon Saint Vincent and the Grenadines Samoa Sao Tome and Principe Saudi Arabia Senegal Serbia Seychelles Sierra Leone Singapore Sint Maarten (Dutch part) Solomon Islands Somalia Somaliland South Africa South Georgia and the South Sandwich Islands South Sudan Sri Lanka Sudan Suriname Svalbard and Jan Mayen Syrian Arab Republic Taiwan Tajikistan Tanzania Timor-Leste Togo Tokelau Tonga Trinidad and Tobago Turkey Turkmenistan Turks and Caicos Islands Tuvalu Uganda Ukraine United Arab Emirates United States Minor Outlying Islands United States Uzbekistan Vanuatu Venezuela Vietnam Virgin Islands, British Virgin Islands, U.S. Wallis and Futuna Western Sahara Yemen Zambia Zimbabwe ",0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Dominican Republic,DOM,PARTIAL,BORDER_CLOSURE,2020-12-22,1,United Kingdom,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Algeria,DZA,PARTIAL,BORDER_CLOSURE,2020-03-19,1,"Albania, Andorra, Armenia, Austria, Belarus, Belguim, Bosnia, Bulgaria, Croatia, Cyprus, Czechia, Azerbaijan, Denmark, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, Iceland, Ireland, Italy, Kazakhstan, Kosovo, Latvia, Liechtenstein, Lituania, Luxembourg, Malta, Moldova, Monaco, Montenegro, Netherlands, North Macedonia, Norway, Poland, Portugal, Romania, Russia, San Marino, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey, Ukraine, United Kingdom,Morocco, China",0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Ecuador,ECU,PARTIAL,BORDER_CLOSURE,2020-06-01,0,no policy,1,no policy,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Egypt,EGY,PARTIAL,BORDER_CLOSURE,2020-04-27,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Eritrea,ERI,COMPLETE,ESSENTIAL_ONLY,2020-03-25,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Sahrawi Arab Democratic Republic,ESH,COMPLETE,ESSENTIAL_ONLY,2020-03-19,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Spain,ESP,COMPLETE,WORK_EXCEP,2020-07-04,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"Citizens, ",1,"Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Sweden, Switzerland, Andorra, Monaco, Holy See, San Marino, Algeria, Australia, Canada, Georgia, Japan, Montenegro, Morocco, New Zealand, Rwanda, Serbia, South Korea, Thailand, Tunisia, Uruguay, China ",1
Estonia,EST,COMPLETE,SPECIFIC_COUNTRY,2020-09-13,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"citizens, permanent residents",1,"Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Finland, France, Germany, Greece, Hungary, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Australia, Canada, Georgia, Japan, New Zealand, Rwanda, South Korea, Thailand, Tunisia, Uruguay, United Kingdom, Ireland, Andorra, Monaco, San Marino, Vatican City, ",0
Ethiopia,ETH,PARTIAL,BORDER_CLOSURE,2020-04-14,0,no policy,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
European Union,EUR,COMPLETE,WORK_EXCEP,2020-10-27,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,residents,1,"Australia, Japan, New Zealand, Rwanda, Singapore, South Korea, Thailand, Uruguay, subject to confirmation of reciprocity China, Hong Kong, Macao",1
Finland,FIN,COMPLETE,WORK_EXCEP,2020-11-09,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"nationals of Finland, family members of nationals of Finland, passengers with a residence permit issued by Finland, residents of Finland with a British passport, residents of Finland who are nationals of  Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland (Rep.), Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden or Switzerland and their family members",1,"Vactican City, Australia, South Korea, Japan, Rwanda, Signapore, Thailand, Uruguay, New Zealand",1
Fiji,FJI,COMPLETE,ESSENTIAL_ONLY,2020-03-30,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Falkland Islands (Malvinas),FLK,COMPLETE,WORK_EXCEP,2020-04-08,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"citizens, residents",0,no policy,1
France,FRA,COMPLETE,WORK_EXCEP,2020-12-23,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"citizens, permanent residents, family members of citizens and permanent residents",1,"Austria, Belgium, Bulgaria, Croatia, Republic of Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Andorra, Australia, the Holy See, Iceland, Japan, Liechtenstein, Monaco, New Zealand, Norway, Rwanda, San Marino, South Korea, Singapore, Switzerland, Thailand, the United Kingdom",1
Faroe Islands,FRO,COMPLETE,WORK_EXCEP,2020-06-27,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,residents,1,"Austria, Belgium, Bulgaria, Croatia, Republic of Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, Iceland, Norway, Switzerland, Liechtenstein, United Kingdom",1
"Micronesia, Federated States of",FSM,COMPLETE,ESSENTIAL_ONLY,2020-04-15,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Gabon,GAB,PARTIAL,BORDER_CLOSURE,2020-09-19,0,no policy,1,no policy,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
United Kingdom,GBR,PARTIAL,HISTORY_BAN,2020-11-13,0,no policy,0,no policy,0,no policy,0,no policy,1,Denmark,0,no policy,0,no policy,0,no policy,0,no policy,0
Georgia,GEO,COMPLETE,ESSENTIAL_ONLY,2020-03-21,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Guernsey,GGY,NOPOLICYIMPLEMENTED,NONE,2001-01-01,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Ghana,GHA,PARTIAL,BORDER_CLOSURE,2020-03-17,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Guinea,GIN,PARTIAL,BORDER_CLOSURE,2020-05-06,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Guadeloupe,GLP,COMPLETE,SPECIFIC_COUNTRY,2020-06-08,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"reunification, essential workers, citizens",1,"Martinique, Saint Barthelemy, St. Martin",0
Gambia,GMB,PARTIAL,BORDER_CLOSURE,2020-09-17,1,"United Kingdom, Spain, France, Poland, Germany, Sweden, Denmark, Switzerland, Netherlands, Norway, Austria, Belgium, Portugal",0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Guinea-Bissau,GNB,COMPLETE,ESSENTIAL_ONLY,2020-03-17,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Equatorial Guinea,GNQ,PARTIAL,BORDER_CLOSURE,2020-04-15,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Greece,GRC,PARTIAL,CITIZENSHIP_BAN,2020-10-25,0,no policy,0,no policy,0,no policy,1,"All non-EU residents EXCEPT Singapore, Australia, Japan, New Zealand, Rwanda, South Korea, Thailand, Uruguay, United Arab Emirates",0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Grenada,GRD,PARTIAL,BORDER_CLOSURE,2020-12-20,1,United Kingdom,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Greenland,GRL,COMPLETE,WORK_EXCEP,2020-10-31,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"nationals, residents, foreign spouses and/or children of citizens, those the Danish government determines have worthy purpose of travel",1,"Australia, Japan, New Zealand, Singapore, South Korea, Thailand, Uruguay",1
Guatemala,GTM,COMPLETE,CITIZEN_EXCEP,2020-04-26,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"citizens, permanent residents, temporary residents, diplomats residing in Guatemala",0,no policy,0
French Guiana,GUF,COMPLETE,CITIZEN_EXCEP,2020-03-23,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"residents, family",0,no policy,0
Guam,GUM,NOPOLICYIMPLEMENTED,NONE,2001-01-01,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Guyana,GUY,PARTIAL,BORDER_CLOSURE,2020-03-27,0,no policy,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Hong Kong,HKG,PARTIAL,BORDER_CLOSURE,2020-04-06,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Honduras,HND,PARTIAL,BORDER_CLOSURE,2020-03-21,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Croatia,HRV,PARTIAL,BORDER_CLOSURE,2020-09-15,0,no policy,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Haiti,HTI,COMPLETE,CITIZEN_EXCEP,2020-04-14,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,does not apply to domestic flights,0,no policy,0
Hungary,HUN,COMPLETE,SPECIFIC_COUNTRY,2020-09-01,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"including citizens, permanent residents",1," Czech Republic, Poland, Slovakia",0
Indonesia,IDN,COMPLETE,WORK_EXCEP,2020-04-01,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"citizens, permanent residents",0,no policy,1
Isle of Man,IMN,COMPLETE,CITIZEN_EXCEP,2020-03-23,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"citizens, residents",0,no policy,0
India,IND,PARTIAL,BORDER_CLOSURE,2020-03-22,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
British Indian Ocean Territory,IOT,PARTIAL,BORDER_CLOSURE,2020-04-24,0,no policy,0,no policy,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Ireland,IRL,PARTIAL,VISA_BAN,2020-09-25,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"only accpeting certain long-stay visas which include categories such as Third level study at primary degree and postgraduate level, Employment and Join Family",0,no policy,0,no policy,0
"Iran, Islamic Republic of",IRN,PARTIAL,BORDER_CLOSURE,2020-03-16,1," Iran, China, Hong Kong, Macau, Taiwan",0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Iraq,IRQ,PARTIAL,BORDER_CLOSURE,2020-10-27,1,"Kuwait, Bahrain ",0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Iceland,ISL,COMPLETE,WORK_EXCEP,2020-11-04,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"Citizens, permanent residents, family members of citizens",1,"EU, EFTA, UK nationals, Australia, Canada, Georgia, Japan, New Zealand, Rwanda, South Korea, Thailand, Tunisia and Uruguay ",1
Israel,ISR,PARTIAL,BORDER_CLOSURE,2020-09-25,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Italy,ITA,COMPLETE,SPECIFIC_COUNTRY,2020-10-24,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"Citizens, permanent residents",1,"EU, EFTA, UK nationals, Australia, Canada, Georgia, Japan, New Zealand, Romania, Rwanda, The Republic of Korea, Thailand, Tunisia, Uruguay",0
Jamaica,JAM,PARTIAL,BORDER_CLOSURE,2020-12-21,1,United Kingdom,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Jersey,JEY,NOPOLICYIMPLEMENTED,NONE,2001-01-01,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Jordan,JOR,PARTIAL,BORDER_CLOSURE,2020-08-11,0,no policy,1,"The border crossings of King Hussein Bridge, Sheikh Hussein Bridge, and Al-Mudawara will operate at limited capacity and will bar those who do not have Jordanian, Palestinian, or Saudi nationality",0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Japan,JPN,COMPLETE,CITIZEN_EXCEP,2021-01-13,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,residents,0,no policy,0
Kazakhstan,KAZ,COMPLETE,CITIZEN_EXCEP,2020-03-16,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"citizens, foreigners with residence permits, family of citizens",0,no policy,0
Kenya,KEN,PARTIAL,BORDER_CLOSURE,2020-08-01,0,no policy,1,no policy,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Kyrgyzstan,KGZ,COMPLETE,CITIZEN_EXCEP,2020-03-17,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,citizens,0,no policy,0
Cambodia,KHM,PARTIAL,BORDER_CLOSURE,2020-08-24,0,no policy,1,"Thailand, Laos",0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Kiribati,KIR,COMPLETE,CITIZEN_EXCEP,2020-03-23,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"citizens, permanent residents",0,no policy,0
Saint Kitts and Nevis,KNA,PARTIAL,BORDER_CLOSURE,2020-08-29,1,"except with the prior written permission of the Air Ports Authorities, in consultation with the Chief Medical Officer;",1,no policy,1,"except with the prior written permission of the Ports Authorities, in consultation with the Chief Medical Officer;",0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
"Korea, Republic of",KOR,PARTIAL,BORDER_CLOSURE,2020-04-17,1,ONLY Incheon International Airport (ICN) open,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Kuwait,KWT,PARTIAL,BORDER_CLOSURE,2020-12-01,0,no policy,1,Iran,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Lao People's Democratic Republic,LAO,PARTIAL,VISA_BAN,2020-06-02,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,countries with increasing COVID-19 infections remains suspended,0,no policy,0,no policy,0
Lebanon,LBN,PARTIAL,BORDER_CLOSURE,2020-11-14,0,no policy,1,no policy,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Liberia,LBR,PARTIAL,BORDER_CLOSURE,2020-04-29,0,no policy,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Libya,LBY,PARTIAL,BORDER_CLOSURE,2020-07-19,1,"The Tripoli-based Government of National Accord (GNA) extended a ban on civil aviation for a further 15 days as of Sunday, July 19. **The ban excludes official visits, medevac and cargo flights, return flights for Libyans abroad, and departure flights for both Libyans and foreigners.",0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Saint Lucia,LCA,COMPLETE,SPECIFIC_COUNTRY,2020-07-03,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"citizens, permanent residents, family members of citizens and permanent residents",1,"Antigua, Barbuda, Aruba, Anguilla, Bahamas, Barbados, Bermuda, Bonaire, British Virgin Islands, Curaçao, Dominica, Grenada, Guyana, Jamaica, Monsterrat, Saint Barthelemy, Saint Kitts and Nevis, Saint Martin, Saint Vincent and the Grenadines, Saint Martin, Trinidad and Tobago and Turks and Caicos",0
Sri Lanka,LKA,PARTIAL,BORDER_CLOSURE,2020-12-23,1,United Kingdom,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Lesotho,LSO,COMPLETE,WORK_EXCEP,2020-04-21,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"citizens, residents",0,no policy,1
Lithuania,LTU,COMPLETE,SPECIFIC_COUNTRY,2020-07-13,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,citizens,1,"Hungary, Malta, Finland, Estonia, Cyprus, Latvia, Norway, Greece, Slovakia, Italy, Netherlands, Denmark, Liechtenstein, Germany, Belgium, Poland, Slovenia, Spain, Austria, Switzerland, France, United Kingdom, Iceland, Czech Republic, Croatia",0
Luxembourg,LUX,PARTIAL,BORDER_CLOSURE,2020-08-14,0,no policy,1,Morocco,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Latvia,LVA,PARTIAL,BORDER_CLOSURE,2020-12-04,1,"Afghanistan, Aland Islands, Albania, Algeria, American Samoa, Andorra, Angola, Anguilla, Antarctica, Antigua and Barbuda, Argentina, Armenia, Aruba, Azerbaijan, Bahamas, Bahrain, Bangladesh, Barbados, Belarus, Belize, Benin, Bermuda, Bhutan, Bolivia, Bonaire, Sint Eustatius and Saba, Bosnia and Herzegovina, Botswana, Bouvet Island, Brazil, British Indian Ocean Territory, Brunei Darussalam, Burkina Faso, Burundi, Cape Verde, Cambodia, Cameroon, Cayman Islands, Central African Republic, Chad, Chile, China, Christmas Island, Cocos (Keeling) Islands, Colombia, Comoros, Congo, Democratic Republic of the Congo, Cook Islands, Costa Rica, Côte d'Ivoire, Cuba, Curaçao, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Eswatini, Ethiopia, Falkland Islands (Malvinas), Faroe Islands, Fiji, French Guiana, French Polynesia, French Southern Territories, Gabon, Gambia, Georgia, Ghana, Gibraltar, Greenland, Grenada, Guadeloupe, Guam, Guatemala, Guernsey, Guinea, Guinea-Bissau, Guyana, Haiti, Heard Island and McDonald Islands, Honduras, Hong Kong, India, Indonesia, Iran, Iraq, Isle of Man, Israel, Jamaica, Jersey, Jordan, Kazakhstan, Kenya, Kiribati, North Korea, Kuwait, Kyrgyzstan, Kosovo, Lao People's Democratic Republic, Lebanon, Lesotho, Liberia, Libya, Macao, North Macedonia, Madagascar, Malawi, Malaysia, Maldives, Mali, Marshall Islands, Martinique, Mauritania, Mauritius, Mayotte, Mexico, Micronesia, Federated States of, Republic of Moldova, Mongolia, Montenegro, Montserrat, Morocco, Mozambique, Myanmar, Namibia, Nauru, Nepal, New Caledonia, Nicaragua, Niger, Nigeria, Niue, Norfolk Island, Northern Mariana Islands, Oman, Pakistan, Palau, Palestine, State of, Panama, Papua New Guinea, Paraguay, Peru, Philippines, Pitcairn, Puerto Rico, Qatar, Réunion, Russian Federation, Saint Barthélemy, Saint Helena, Ascension and Tristan da Cunha, Saint Kitts and Nevis, Saint Lucia, Saint Martin (French part), Saint Pierre and Miquelon, Saint Vincent and the Grenadines, Samoa, Sao Tome and Principe, Saudi Arabia, Senegal, Serbia, Seychelles, Sierra Leone, Singapore, Sint Maarten (Dutch part), Solomon Islands, Somalia, Somaliland, South Africa, South Georgia and the South Sandwich Islands, South Sudan, Sri Lanka, Sudan, Suriname, Svalbard and Jan Mayen, Syrian Arab Republic, Taiwan, Tajikistan, United Republic of Tanzania, Timor-Leste (East Timor), Togo, Tokelau, Tonga, Trinidad and Tobago, Turkey, Turkmenistan, Turks and Caicos Islands, Tuvalu, Uganda, Ukraine, United Arab Emirates, United States Minor Outlying Islands, United States of America, Uzbekistan, Vanuatu, Venezuela, Vietnam, Virgin Islands, British, Virgin Islands, U.S., Wallis and Futuna, Western Sahara, Yemen, Zambia, Zimbabwe, Luxembourg, Croatia, San Marino, Lithuania",0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
